# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = timeseries_model
# start_datetime = 2023-01-12 14:24:26 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = examples\timeseries\timeseries.data.R
# init = 2 (Default)
# random
#   seed = 2911352597 (Default)
# output
#   file = examples\timeseries\timeseriesvar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,alpha,beta,lambda
# Stepsize adaptation complete.
# eta = 1
0,-26.4371,-0.957901,-1.62159,0.726348,0.45738
0,-26.6318,-0.615436,-1.56191,0.664939,0.502641
0,-28.0262,-2.83247,-1.76281,0.662599,0.46382
0,-27.5539,-0.897129,-1.67924,0.609945,0.479304
0,-26.7259,-0.708742,-1.59862,0.64411,0.446825
0,-28.8707,-1.41211,-1.4371,0.588507,0.470545
0,-26.3217,-0.293533,-1.59583,0.698213,0.478846
0,-26.5563,-2.61948,-1.48101,0.741247,0.517654
0,-27.3984,-0.374316,-1.52814,0.576298,0.4711
0,-32.6047,-3.74953,-1.35829,0.540754,0.467024
0,-30.1483,-4.28566,-1.49604,0.476681,0.530192
0,-26.7252,-1.25865,-1.62966,0.6315,0.439745
0,-27.4756,-4.05751,-1.71571,0.794489,0.440879
0,-27.6431,-4.05174,-1.45111,0.576253,0.536205
0,-28.2498,-0.870029,-1.54414,0.552414,0.453802
0,-27.7949,-1.29857,-1.50265,0.741381,0.457066
0,-26.8763,-1.27663,-1.58561,0.766108,0.46009
0,-27.5647,-0.477221,-1.51521,0.574026,0.471692
0,-26.5721,-2.15346,-1.43024,0.683893,0.504436
0,-26.3706,-0.51744,-1.56295,0.726073,0.477368
0,-31.0162,-3.15037,-1.46183,0.447019,0.485005
0,-27.5995,-0.938387,-1.51819,0.549687,0.494355
0,-26.3021,-0.318298,-1.60908,0.662138,0.460781
0,-27.1063,-1.92603,-1.50805,0.614016,0.521525
0,-29.8923,-2.25602,-1.51039,0.683422,0.427081
0,-27.8319,-1.28263,-1.65521,0.723637,0.495152
0,-26.2683,-0.590663,-1.52779,0.704034,0.490544
0,-26.4162,-1.57451,-1.65101,0.699793,0.442504
0,-26.649,-0.312864,-1.62372,0.607932,0.466706
0,-26.4173,-0.612933,-1.57118,0.733696,0.479542
0,-27.0192,-1.40285,-1.59927,0.780923,0.479991
0,-27.8736,-0.621897,-1.52567,0.551519,0.47035
0,-26.3886,-2.2882,-1.69893,0.653324,0.438384
0,-26.7836,-0.380639,-1.55494,0.670127,0.456381
0,-26.629,-0.765437,-1.58896,0.73449,0.488752
